country,iso3,year,population,life_expectancy,inflation_rate,NY.GDP.PCAP.CD
Switzerland,CHE,1991,6799978,77.5146341463415,5.85959663468677,39544.4946826768
Switzerland,CHE,1992,6875364,77.8060975609756,4.03703020778739,40713.6881521435
Switzerland,CHE,1993,6938265,78.0853658536586,3.29262180313606,39237.1186558781
Switzerland,CHE,1994,6993795,78.35,0.852116995120664,43091.7770970073
Switzerland,CHE,1995,7040687,78.4170731707317,1.79982776867149,50113.8321221345
Switzerland,CHE,1996,7071850,78.8960975609756,0.811634064628187,48092.6433036512
Switzerland,CHE,1997,7088906,79.079512195122,0.52022542273664,41584.441782159
Switzerland,CHE,1998,7110001,79.3243902439025,0.0179384378439321,42680.5867322391
Switzerland,CHE,1999,7143991,79.580487804878,0.806444380959459,41695.6912912021
Switzerland,CHE,2000,7184250,79.6804878048781,1.55852919679008,38865.021939688
Switzerland,CHE,2001,7229854,80.1804878048781,0.989020329832545,39638.7911061864
Switzerland,CHE,2002,7284753,80.3853658536585,0.642711506543277,42458.7384679187
Switzerland,CHE,2003,7339001,80.5365853658537,0.638272930887189,49335.7456291067
Switzerland,CHE,2004,7389625,81.0878048780488,0.802908730955226,54659.4571488233
Switzerland,CHE,2005,7437115,81.2365853658537,1.17195420333702,56242.8933645639
Switzerland,CHE,2006,7483934,81.490243902439,1.05950928324804,59011.0324592016
Switzerland,CHE,2007,7551117,81.7414634146342,0.732350603122236,64989.1553256031
Switzerland,CHE,2008,7647675,81.9926829268293,2.42604117060157,74175.1927898555
Switzerland,CHE,2009,7743831,82.0439024390244,-0.480481936423304,71568.3123885672
Switzerland,CHE,2010,7824909,82.2463414634147,0.688238707219974,76531.3729407691
Switzerland,CHE,2011,7912398,82.6951219512195,0.2313492076509,90476.7589651577
Switzerland,CHE,2012,7996861,82.6975609756098,-0.692552018105163,85836.2076767359
Switzerland,CHE,2013,8089346,82.7975609756098,-0.217323155115672,87304.3305813557
Switzerland,CHE,2014,8188649,83.1975609756098,-0.0132025387515945,88724.9909402638
Switzerland,CHE,2015,8282396,82.8975609756098,-1.14390867228178,83806.4476003837
Switzerland,CHE,2016,8373338,83.6024390243903,-0.434618664285814,82153.0745447889
Switzerland,CHE,2017,8451840,83.5512195121951,0.533787839825876,82254.3769269767
Switzerland,CHE,2018,8514329,83.7536585365854,0.936335464113572,85217.3691512274
Switzerland,CHE,2019,8575280,83.9048780487805,0.362886179940674,84121.9310304414
Switzerland,CHE,2020,8638167,83.0,-0.725874933313402,85897.7843338323
Switzerland,CHE,2021,8704546,83.7512195121951,0.581814168489855,93664.7736696111
Switzerland,CHE,2022,8777088,83.6048780487805,2.83502798644451,94394.5106803525
Switzerland,CHE,2023,8888822,84.1560975609756,2.13540088016386,100623.549627296
Switzerland,CHE,2024,9005582,84.4073170731707,1.06234041976594,103998.186685604
Czechia,CZE,1960,9602006,70.3487804878049,,
Czechia,CZE,1961,9586651,70.5126829268293,,
Czechia,CZE,1962,9624660,69.7868292682927,,
Czechia,CZE,1963,9670685,70.3043902439025,,
Czechia,CZE,1964,9727804,70.459512195122,,
Czechia,CZE,1965,9779358,70.1631707317073,,
Czechia,CZE,1966,9821040,70.3848780487805,,
Czechia,CZE,1967,9852899,70.2641463414634,,
Czechia,CZE,1968,9876346,69.8407317073171,,
Czechia,CZE,1969,9896580,69.3670731707317,,
Czechia,CZE,1970,9858071,69.440243902439,,
Czechia,CZE,1971,9826815,69.6770731707317,,
Czechia,CZE,1972,9867632,70.1765853658537,,
Czechia,CZE,1973,9922266,70.0226829268293,,
Czechia,CZE,1974,9988459,70.0865853658537,,
Czechia,CZE,1975,10058620,70.4146341463415,,
Czechia,CZE,1976,10125939,70.5326829268293,,
Czechia,CZE,1977,10186755,70.5734146341463,,
Czechia,CZE,1978,10242098,70.6439024390244,,
Czechia,CZE,1979,10292341,70.749512195122,,
Czechia,CZE,1980,10304193,70.2780487804878,,
Czechia,CZE,1981,10300591,70.7221951219512,,
Czechia,CZE,1982,10314826,70.8078048780488,,
Czechia,CZE,1983,10323856,70.5914634146341,,
Czechia,CZE,1984,10330213,70.8375609756098,,
